"Num","Title","Type","Specialisations","Categories","Supervisor","Prerequisites","Summary","File"
"46","A Neural Speaker Diarization System for Doctors","Undergraduate","Computer Systems Engineering; Software Engineering","AI & Machine learning; Image & Voice Processing","Satwinder Singh","A good background knowledge in deep learning, Python, PyTorch, and Flask and additional expertise in mobile app development would be highly desirable.","This research initiative endeavors to construct a speaker diarization framework tailored for the medical field, specifically targeting patient-doctor interactions. Presently, doctors dedicate a significant portion of their time to transcribing medical notes onto Electronic Health Records (EHR), lead...","46_A_Neural_Speaker_Diarization_System_for_Doctors.html"
"47","Power Quality Assessment in Smart Grid using Machine Learning Techniques","Undergraduate","Computer Systems Engineering; Electrical and Electronic Engineering","AI & Machine learning; Power Systems; Signal Processing","Akshya Swain","None","The increase penetration of renewable energy and use of electronic load into the electric grid poses significant challenge regarding the power quality issues and energy management. These penetrations will increase harmonic distortion, frequent switching of load will result in flicker etc. This proje...","47_Power_Quality_Assessment_in_Smart_Grid_using_Machine_Learning_Techniques.html"
"48","Intelligent Controllers for Wind Energy Systems","Undergraduate","Electrical and Electronic Engineering","Control Systems; Power Systems","Akshya Swain","None","The proposed project will design and implement intelligent controllers for renewable energy systems with special emphasis on wind enderguy systems. The controller design will progeressively developed from sinmple PI controller to  machine learning based controllers. These controllers will be impleme...","48_Intelligent_Controllers_for_Wind_Energy_Systems.html"
"49","Digitalization of 'The Gift Box' Tool","Undergraduate","Software Engineering","Human Computer Interactions; Smart Phone & Tablet Applications; Software Development Tools and Processes 1","Jing Sun","None","This project aims to address the unmet mental health needs of New Zealanders, worsened by the COVID-19 outbreak in 2020. A long-standing nominal recovery approach, despite its strong principles, has limited access to operationalized tools informed by evidence-based practice and lived experience of r...","49_Digitalization_of_The_Gift_Box_Tool.html"
"50","Daylight control in indoor lighting systems","Undergraduate","Electrical and Electronic Engineering","Green Energy Technologies","Dariusz Kacprzak","ELECTENG310","Daylight control, a practice that has been in existence for several decades, plays a crucial role in mitigating energy consumption and finds widespread application in the construction of eco-friendly buildings. Despite its inherent benefits, it is essential to acknowledge that implementing daylight ...","50_Daylight_control_in_indoor_lighting_systems.html"
"51","Emergency lighting for low visibility spaces","Undergraduate","Electrical and Electronic Engineering","Green Energy Technologies","Dariusz Kacprzak","ELECTENG310","In this project, our primary objective is to conduct an in-depth study of emergency lighting systems tailored for installation in low-visibility spaces. The successful execution of this project will necessitate extensive literature review, DIALux simulations, and rigorous engineering evaluation effo...","51_Emergency_lighting_for_low_visibility_spaces.html"
"52","Transmitting audio via light","Undergraduate","Electrical and Electronic Engineering","Signal Processing","Dariusz Kacprzak","None","Communication via light has been established for a considerable duration, primarily utilized in conjunction with sensors, remote control systems, headphones, and similar devices. In this project, our focus will be on exploring methodologies for transmitting audio stereo signals using light as the me...","52_Transmitting_audio_via_light.html"
"53","AI-Enabled Chatbot for Mental and Wellbeing Care","Undergraduate","Software Engineering","Human Computer Interactions; Smart Phone & Tablet Applications; Software Development Tools and Processes 1","Jing Sun","None","This project addresses New Zealand's escalating mental health needs. The current approach to mental health support, while principled, lacks practical, evidence-based tools that accommodate the diverse recovery experiences of individuals. There's a pressing need for accessible, effective solutions, e...","53_AIEnabled_Chatbot_for_Mental_and_Wellbeing_Care.html"
"54","AI-Enabled Virtual Assistant for Aged Care","Undergraduate","Software Engineering","Human Computer Interactions; Smart Phone & Tablet Applications; Software Development Tools and Processes 1","Jing Sun","None","Aged care has become a popular domain for computerized applications. Similar to hospitality systems, AI-enabled assistants have been deployed in rest homes and elderly care facilities to provide a smart environment of personalized care. These smart systems not only dramatically reduce the physical w...","54_AIEnabled_Virtual_Assistant_for_Aged_Care.html"
"55","Enhanced Indoor Activity Tracking with Risk Management","Undergraduate","Software Engineering","Smart Phone & Tablet Applications; Software Development Tools and Processes 1","Jing Sun","None","Dementia is a complex and progressive neurodegenerative condition. People with dementia often like to walk around their home or leave the house to walk around the neighborhood, sometimes referred to as wandering behavior. Wandering behavior can result in the person with dementia getting lost or enco...","55_Enhanced_Indoor_Activity_Tracking_with_Risk_Management.html"
